id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
ID12101,0.6122448979591837,0.21563448481990033,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
ID12102,0.44897959183673464,0.43139475279480355,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
ID12103,0.6734693877551019,0.198933372611174,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12104,0.10204081632653061,0.2643199648151306,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
ID12105,0.7959183673469388,0.7839867891552551,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12106,0.7959183673469388,0.5653426283241983,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12107,0.08163265306122447,0.06646822409499362,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12108,0.8163265306122449,0.34297659383690066,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12109,0.3877551020408163,0.3491315370030468,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
ID12110,0.7346938775510203,0.3303380538437938,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12111,0.9795918367346939,0.9427660834239998,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12112,0.693877551020408,0.37243841572416764,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12113,0.5306122448979591,0.1844863771336892,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
ID12114,0.9795918367346939,0.8636276584596742,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12115,0.36734693877551017,0.24881990106320317,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12116,0.40816326530612246,0.2981609676802678,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12117,0.3877551020408163,0.218797131042818,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
ID12118,0.5714285714285714,0.6194827266690744,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
ID12119,0.8979591836734693,0.37674704801044945,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12120,0.26530612244897955,0.3012702722095454,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12121,0.8775510204081631,0.9096735849696184,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12122,0.653061224489796,0.19758950607140313,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12123,0.7346938775510203,0.5752710661404307,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12124,0.18367346938775508,0.18109659853785254,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12125,0.08163265306122447,0.1312221149843872,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
ID12126,0.7755102040816326,0.6197924526321458,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12127,0.5510204081632653,0.2717929640241249,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12128,0.4285714285714285,0.2598220555514163,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12129,0.4285714285714285,0.41890247228425814,1.0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
ID12130,0.8775510204081631,0.33133605972480157,0.3333333333333333,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
